CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_VALUE
CHEMBL179256,OC(=O)c1ccc2c(c1)nc(c3ccc(O)cc3F)n2C4CCCCC4,1.4
CHEMBL204350,CC(C)(C)CCN1[C@H](C(=C(C1=O)C2=NS(=O)(=O)c3ccccc3N2)O)C(C)(C)C,1.7
CHEMBL179257,OC(=O)c1ccc2c(c1)nc(c3ccc(O)cc3)n2C4CCCCC4,3
CHEMBL178784,OC(=O)c1ccc2c(C3CCCCC3)c([nH]c2c1)c4ccc(O)cc4,4.8
CHEMBL369319,CN(C)C(=O)Cn1c(c2ccc(OCc3ccccc3)cc2)c(C4CCCCC4)c5ccc(cc15)C(=O)O,6
CHEMBL3651437,CNC(=O)c1c(oc2ccc(c(F)c12)c3cc(cc(F)c3C)C(=O)NC4(COC4)c5ncccn5)c6ccc(F)cc6,6
CHEMBL191196,CS(=O)(=O)N1CCN(CC1)C(=O)Cn2c(c3ccc(Cl)cc3)c(C4CCCCC4)c5ccc(cc25)C(=O)O,7
CHEMBL173466,OC(=O)[C@H](Cc1c[nH]c2ccc(NC(=O)C(=O)O)cc12)NC(=O)c3ccc4c(c3)nc(c5cocc5)n4C6CCCCC6,8
CHEMBL363199,OC(=O)c1ccc2c(C3CCCCC3)c(c4ccc(Cl)cc4)n(CC(=O)NCC5CC5)c2c1,8
CHEMBL210693,CNS(=O)(=O)Nc1ccc2N=C(NS(=O)(=O)c2c1)C3=C(O)c4ccccc4N(NC5CCC5)C3=O,8.7
CHEMBL190428,COc1ccc(cc1)c2c(C3CCCCC3)c4ccc(cc4n2CC(=O)N5CCC(CC5)N(C)C)C(=O)O,9
CHEMBL362957,OC(=O)c1ccc2c(C3CCCCC3)c(c4cocc4)n(CC(=O)N5CCC(CC5)N6CCC6)c2c1,9
CHEMBL190098,CCN(CC)C1CCN(CC1)C(=O)Cn2c(c3ccc(OC)cc3)c(C4CCCCC4)c5ccc(cc25)C(=O)O,9
CHEMBL365951,CCN(CC)CC1CN(CCO1)C(=O)Cn2c(c3ccc(OC)cc3)c(C4CCCCC4)c5ccc(cc25)C(=O)O,9
CHEMBL1203926,Cl.Cl.OC(=O)c1ccc2c(C3CCCCC3)c4c5ccccc5N(CCN6CCCCC6)CCn4c2c1,9
CHEMBL362909,CCN(CC)C1CCN(CC1)C(=O)Cn2c(c3ccc(Cl)cc3)c(C4CCCCC4)c5ccc(cc25)C(=O)O,9
CHEMBL210671,CC(C)CCN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)NCCN)ccc4N3,10
CHEMBL3651435,CNC(=O)c1c(oc2ccc(c(F)c12)c3cc(ccc3C)C(=O)NC4(COC4)c5ncccn5)c6ccc(F)cc6,10
CHEMBL394002,COc1ccc(CNS(=O)(=O)Nc2ccc3NC(=NS(=O)(=O)c3c2)C4=C(O)c5cccnc5N(CCC(C)C)C4=O)cc1,10
CHEMBL179228,Cc1ccc(cc1)c2c(C3CCCCC3)c4ccc(cc4n2CC(=O)N5CCOCC5)C(=O)O,11
CHEMBL363566,OC(=O)c1ccc2c(C3CCCCC3)c(c4ccc(Cl)cc4)n(CC(=O)N5CCS(=O)(=O)CC5)c2c1,11
CHEMBL190945,CC(C)N(C)C(=O)Cn1c(c2ccc(Cl)cc2)c(C3CCCCC3)c4ccc(cc14)C(=O)O,11
CHEMBL378026,CN(C)C(=O)c1ccc(c(COc2ccc(c(F)c2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,12
CHEMBL190146,CN1CCN(CC1)C(=O)Cn2c(c3ccc(Cl)cc3)c(C4CCCCC4)c5ccc(cc25)C(=O)O,12
CHEMBL372433,CN(CC1CCCN(C)C1)C(=O)Cn2c(c3ccc(Cl)cc3)c(C4CCCCC4)c5ccc(cc25)C(=O)O,12
CHEMBL378053,CNC(=O)c1ccc(c(COc2ccc(c(F)c2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,12
CHEMBL443044,CN(C)C1CNC(C1)C(=O)Cn2c(c3ccc(Cl)cc3)c(C4CCCCC4)c5ccc(cc25)C(=O)O,13
CHEMBL202319,OC1=C(C(=O)N(CCC2CC2)c3ccccc13)C4=NS(=O)(=O)c5ccccc5N4,13
CHEMBL211130,CC(C)CCN1C(=O)C(=C(O)c2cccnc12)C3=NS(=O)(=O)c4cc(NS(=O)(=O)NCc5cccc(c5)[N+](=O)[O-])ccc4N3,13
CHEMBL375133,CC(C)NC(=O)c1ccc(c(COc2ccc(c(F)c2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,13
CHEMBL438430,NC(=O)c1ccc(c(COc2ccc(cc2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,13
CHEMBL222231,COc1cc(OC)c(CCC2(CC(=C(Sc3nc4nc(C)cc(C)n4n3)C(=O)O2)O)C5CCCC5)cc1Cl,14
CHEMBL368589,OC1CCN(CC1)C(=O)c2ccc(c(COc3ccc(c(F)c3)c4nc5cc(ccc5n4C6CCCCC6)C(=O)O)c2)c7ccc(Cl)cc7,14
CHEMBL213695,CC(=O)Nc1ccc(c(COc2ccc(c(F)c2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,14
CHEMBL210760,CNS(=O)(=O)Nc1ccc2N=C(NS(=O)(=O)c2c1)C3=C(O)c4cccnc4N(CCC(C)C)C3=O,14
CHEMBL379435,OC(=O)c1ccc2c(c1)nc(c3ccc(OCc4cc(ccc4c5ccc(Cl)cc5)C(=O)N6CCOCC6)cc3F)n2C7CCCCC7,14
CHEMBL361232,CN(C)C(=O)Cn1c(c2ccc(Cl)cc2)c(C3CCCCC3)c4ccc(cc14)C(=O)O,15
CHEMBL376688,CN(C)C(=O)c1ccc(c(COc2ccc(cc2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,15
CHEMBL366575,OC(=O)[C@H](Cc1c[nH]c2ccc(cc12)C3N=NN=N3)NC(=O)c4ccc5c(c4)nc(c6cocc6)n5C7CCCCC7,15
CHEMBL238897,COc1cccc(CNS(=O)(=O)Nc2ccc3NC(=NS(=O)(=O)c3c2)C4=C(O)c5cccnc5N(CCC(C)C)C4=O)c1,15
CHEMBL3651434,CNC(=O)c1c(oc2ccc(c(F)c12)c3cc(cc(F)c3C)C(=O)NC4(COC4)c5ccccn5)c6ccc(F)cc6,16
CHEMBL374567,CN(C(=O)C)c1ccc(c(COc2ccc(c(F)c2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,16
CHEMBL386508,Cn1c(c2cocc2)c(C3CCCCC3)c4ccc(cc14)C(=O)O,16
CHEMBL378470,NS(=O)(=O)c1ccc(c(COc2ccc(cc2)c3nc4cc(ccc4n3C5CCCCC5)C(=O)O)c1)c6ccc(Cl)cc6,16
CHEMBL179673,CN(C)C(=O)Cn1c(c2ccc(C)cc2)c(C3CCCCC3)c4ccc(cc14)C(=O)O,17
CHEMBL3651433,CNC(=O)c1c(oc2ccc(c(F)c12)c3cc(C(=O)NC4(COC4)c5ccccn5)c(OC)cc3C)c6ccc(F)cc6,17
CHEMBL386319,OC(=O)c1ccc2c(C3CCCCC3)c4c5ccc(OCc6ccccc6)cc5OCCn4c2c1,17
CHEMBL191059,CN(C)C(=O)CN(C)C(=O)Cn1c(c2ccc(Cl)cc2)c(C3CCCCC3)c4ccc(cc14)C(=O)O,17
CHEMBL361156,CN(C)C(=O)Cn1c(c2cccc(F)c2)c(C3CCCCC3)c4ccc(cc14)C(=O)O,18
CHEMBL179970,COc1ccc(cc1)c2c(C3CCCCC3)c4ccc(cc4n2CC(=O)N(C)C)C(=O)O,18
